pqu_id,application_version,pqu_train,release_number,station,station_label,sandbox_start_date,sandbox_end_date,production_start_date,production_end_date,source_commit,source_url,source_raw_url
10.0.46-PQU-8,10.0.46,PQU-8,8,1,Station 1,2026-08-31,2026-09-03,,,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,2,Station 2,2026-09-07,2026-09-10,2026-09-19,2026-09-20,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,3,Station 3,2026-09-08,2026-09-11,2026-09-19,2026-09-20,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,4,Station 4,2026-09-14,2026-09-17,2026-09-26,2026-09-27,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,5,Station 5,2026-09-21,2026-09-24,2026-10-03,2026-10-04,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,6,Station 6,2026-09-22,2026-09-25,2026-10-03,2026-10-04,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,1,Station 1,2026-09-09,2026-09-12,,,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,2,Station 2,2026-09-14,2026-09-17,2026-09-19,2026-09-20,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,3,Station 3,2026-09-14,2026-09-17,2026-09-19,2026-09-20,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,4,Station 4,2026-09-21,2026-09-24,2026-09-26,2026-09-27,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
