pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.47-PQU-14,10.0.47,PQU-14,14,2026-10-07,2026-10-07,2026-10-31,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-15,10.0.47,PQU-15,15,2026-10-21,2026-10-21,2026-11-14,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-16,10.0.47,PQU-16,16,2026-11-04,2026-11-04,2026-11-28,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-17,10.0.47,PQU-17,17,2026-11-25,2026-11-25,2026-12-19,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-7,10.0.48,PQU-7,7,2026-09-30,2026-09-30,2026-10-24,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-8,10.0.48,PQU-8,8,2026-10-14,2026-10-14,2026-11-07,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-9,10.0.48,PQU-9,9,2026-10-28,2026-10-28,2026-11-21,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-10,10.0.48,PQU-10,10,2026-11-11,2026-11-11,2026-12-05,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-11,10.0.48,PQU-11,11,2026-11-25,2026-11-25,2026-12-19,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-12,10.0.48,PQU-12,12,2026-12-09,2026-12-09,2027-01-02,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
