pqu_id,application_version,pqu_train,release_number,status,application_build,platform_build,uep_version,change_cutoff_date,train_start_date,train_end_date
10.0.46-PQU-1,10.0.46,PQU-1,1,Completed,10.0.2428.95,7.0.7778.45,,2026-02-04,2025-02-09,2026-03-14
10.0.46-PQU-2,10.0.46,PQU-2,2,Completed,10.0.2428.114,7.0.7778.56,,2026-03-04,2026-03-09,2026-04-11
10.0.46-PQU-3,10.0.46,PQU-3,3,Completed,10.0.2428.139,7.0.7778.76,,2026-04-01,2026-04-06,2026-05-09
10.0.46-PQU-4,10.0.46,PQU-4,4,Completed,10.0.2428.169,7.0.7778.104,,2026-04-29,2026-05-04,2026-06-06
10.0.46-PQU-5,10.0.46,PQU-5,5,Completed,10.0.2428.188,7.0.7778.118,,2026-05-27,2026-06-01,2026-07-05
10.0.46-PQU-6,10.0.46,PQU-6,6,Completed,10.0.2428.205,7.0.7778.137,,2026-06-24,2026-06-29,2026-08-01
10.0.46-PQU-7,10.0.46,PQU-7,7,Completed,10.0.2428.220,7.0.7778.145,,2026-07-22,2026-07-27,2026-08-29
10.0.46-PQU-8,10.0.46,PQU-8,8,In-Progress,10.0.2428.236,7.0.7778.149,10.0.46.10,2026-08-21,2026-08-31,2026-10-03
10.0.47-PQU-1,10.0.47,PQU-1,1,Completed,10.0.2527.78,7.0.7858.54,,2026-04-08,2026-04-08,2026-05-02
10.0.47-PQU-2,10.0.47,PQU-2,2,Canceled,,,,2026-04-22,2026-04-22,2026-05-16
10.0.47-PQU-3,10.0.47,PQU-3,3,Completed,10.0.2527.109,7.0.7858.96,,2026-05-06,2026-05-06,2026-05-30
10.0.47-PQU-4,10.0.47,PQU-4,4,Completed,10.0.2527.116,7.0.7858.102,,2026-05-20,2026-05-20,2026-06-13
10.0.47-PQU-5,10.0.47,PQU-5,5,Completed,10.0.2527.130,7.0.7858.111,,2026-06-03,2026-06-03,2026-06-27
10.0.47-PQU-6,10.0.47,PQU-6,6,Completed,10.0.2527.142,7.0.7858.121,,2026-06-17,2026-06-17,2026-07-11
10.0.47-PQU-7,10.0.47,PQU-7,7,Completed,10.0.2527.152,7.0.7858.132,,2026-07-01,2026-07-01,2026-07-25
10.0.47-PQU-8,10.0.47,PQU-8,8,Completed,10.0.2527.160,7.0.7858.134,,2026-07-15,2026-07-15,2026-08-08
10.0.47-PQU-9,10.0.47,PQU-9,9,Completed,10.0.2527.174,7.0.7858.145,,2026-07-29,2026-07-29,2026-08-22
10.0.47-PQU-10,10.0.47,PQU-10,10,Completed,10.0.2527.187,7.0.7858.152,,2026-08-12,2026-08-12,2026-09-05
10.0.47-PQU-11,10.0.47,PQU-11,11,Completed,10.0.2527.197,7.0.7858.163,,2026-08-26,2026-08-26,2026-09-19
