pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.46-PQU-1,10.0.46,PQU-1,1,2026-02-04,2025-02-09,2026-03-14,Completed,10.0.2428.95,7.0.7778.45,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-2,10.0.46,PQU-2,2,2026-03-04,2026-03-09,2026-04-11,Completed,10.0.2428.114,7.0.7778.56,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-3,10.0.46,PQU-3,3,2026-04-01,2026-04-06,2026-05-09,Completed,10.0.2428.139,7.0.7778.76,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-4,10.0.46,PQU-4,4,2026-04-29,2026-05-04,2026-06-06,Completed,10.0.2428.169,7.0.7778.104,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-5,10.0.46,PQU-5,5,2026-05-27,2026-06-01,2026-07-05,Completed,10.0.2428.188,7.0.7778.118,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-6,10.0.46,PQU-6,6,2026-06-24,2026-06-29,2026-08-01,Completed,10.0.2428.205,7.0.7778.137,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-7,10.0.46,PQU-7,7,2026-07-22,2026-07-27,2026-08-29,Completed,10.0.2428.220,7.0.7778.145,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.46-PQU-8,10.0.46,PQU-8,8,2026-08-21,2026-08-31,2026-10-03,In-Progress,10.0.2428.236,7.0.7778.149,10.0.46.10,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-1,10.0.47,PQU-1,1,2026-04-08,2026-04-08,2026-05-02,Completed,10.0.2527.78,7.0.7858.54,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-2,10.0.47,PQU-2,2,2026-04-22,2026-04-22,2026-05-16,Canceled,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-3,10.0.47,PQU-3,3,2026-05-06,2026-05-06,2026-05-30,Completed,10.0.2527.109,7.0.7858.96,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
